TransactionAmt,TransactionHour,card_type,ProductCD,email_match,device_type,distance,card1,card2,card3,card5,addr1,addr2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,isFraud
82.95,23,0,4,0,0,2398.0,13307,428.0,150.0,166.0,330.0,87.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,16.0,3.0,81.0,81.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,119.0,0.0,0.0,0.0,92.0,1,0,0,-1,-1,0,0,0,0,0
209.95,0,0,4,0,0,0.0,16382,275.0,150.0,224.0,264.0,87.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,29.0,29.0,29.0,152.0,29.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,392.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
117.0,19,1,4,0,0,0.0,10486,514.0,150.0,219.0,325.0,87.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,-1,-1,-1,0,0,1,-1,-1,-1,0
1679.95,19,1,4,0,0,0.0,16326,321.0,150.0,226.0,123.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,-1,-1,1,0,1,1,0
34.0,11,0,4,0,0,0.0,7919,194.0,150.0,166.0,181.0,87.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,12.0,4.0,23.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,413.0,0.0,0.0,0.0,413.0,1,1,1,0,1,1,-1,-1,-1,0
226.0,2,1,4,0,0,130.0,12473,555.0,150.0,226.0,299.0,87.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,3.0,2.0,7.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,1,1,0,1,1,1,0,0,1,1
445.0,18,1,4,0,0,6.0,15406,170.0,150.0,226.0,204.0,87.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,9.0,4.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,0.0,0.0,0.0,115.0,1,1,1,0,0,1,0,0,1,0
77.0,18,0,4,0,0,289.0,12839,321.0,150.0,226.0,264.0,87.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,16.0,4.0,0.0,0.0,0.0,168.0,168.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,556.0,1,0,0,0,-1,0,-1,-1,-1,0
58.95,3,0,4,0,0,0.0,9500,321.0,150.0,226.0,330.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,-1,0,0,0,1,0
117.0,15,0,4,0,0,173.0,12544,321.0,150.0,226.0,441.0,87.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,1.0,467.0,289.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,288.0,0.0,0.0,0.0,467.0,1,1,1,0,1,1,-1,-1,-1,0
49.0,13,0,4,0,0,0.0,9112,250.0,150.0,226.0,441.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,109.0,54.0,6.0,27.0,6.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,109.0,-1,-1,-1,0,0,1,-1,-1,-1,0
77.0,17,0,4,0,0,7.0,8432,555.0,150.0,226.0,330.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,22.0,1.0,164.0,164.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,164.0,40.0,0.0,0.0,0.0,164.0,1,1,0,0,1,1,0,0,1,0
48.95,5,0,4,0,0,12.0,17188,321.0,150.0,226.0,310.0,87.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,2.0,62.0,62.0,14.0,131.0,14.0,0.0,0.0,0.0,0.0,131.0,62.0,0.0,0.0,0.0,131.0,1,1,1,-1,-1,0,0,0,1,0
97.0,14,0,4,0,0,5.0,4436,174.0,150.0,226.0,441.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,28.0,1,1,1,0,0,0,-1,-1,-1,0
29.0,20,0,4,0,0,19.0,5751,556.0,150.0,224.0,469.0,87.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,32.0,5.0,126.0,126.0,16.0,586.0,16.0,0.0,0.0,0.0,0.0,317.0,359.0,0.0,0.0,0.0,586.0,1,1,1,1,0,1,0,0,1,0
171.0,14,0,4,0,0,15.0,13108,215.0,150.0,226.0,191.0,87.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,3.0,128.0,121.0,2.0,206.0,2.0,0.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,0.0,206.0,1,1,1,0,1,1,-1,-1,-1,0
57.95,21,0,4,0,0,2.0,10186,417.0,150.0,226.0,325.0,87.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,2.0,96.0,96.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,461.0,0.0,0.0,0.0,633.0,1,1,1,-1,-1,1,-1,-1,-1,0
41.0,21,0,4,0,0,0.0,11815,206.0,150.0,166.0,433.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,-1,-1,-1,0,1,0,-1,-1,-1,0
25.95,16,0,4,0,0,4.0,4030,174.0,150.0,226.0,126.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-1,-1,1,0,0,1,0
50.0,16,0,2,0,0,0.0,2722,-1.0,150.0,226.0,327.0,87.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
209.95,18,0,4,0,0,116.0,12538,543.0,150.0,224.0,428.0,87.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,43.0,1.0,399.0,399.0,15.0,559.0,46.0,0.0,0.0,0.0,0.0,516.0,602.0,0.0,0.0,0.0,620.0,1,1,1,-1,-1,0,0,0,0,0
280.0,22,1,4,0,0,0.0,7006,422.0,150.0,226.0,433.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,58.0,58.0,9.0,58.0,9.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,-1,-1,-1,0,0,1,-1,-1,-1,0
141.0,1,0,4,0,0,47.0,8394,490.0,150.0,226.0,325.0,87.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,15.0,1.0,506.0,506.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,3.0,452.0,0.0,0.0,0.0,505.0,1,1,1,0,1,0,0,0,1,0
146.0,16,0,4,0,0,159.0,10113,369.0,150.0,117.0,327.0,87.0,8.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,5.0,0.0,20.0,5.0,215.0,172.0,9.0,110.0,54.0,0.0,0.0,0.0,0.0,86.0,172.0,0.0,0.0,0.0,215.0,1,1,1,1,1,0,0,0,0,0
57.95,3,0,4,0,0,445.0,15757,322.0,150.0,195.0,310.0,87.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,227.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,1,0,0,-1,-1,-1,0,0,0,0
226.0,23,0,4,0,0,1.0,6062,159.0,150.0,117.0,325.0,87.0,10.0,6.0,0.0,0.0,7.0,5.0,0.0,0.0,8.0,0.0,8.0,0.0,30.0,8.0,146.0,92.0,7.0,93.0,57.0,0.0,0.0,0.0,0.0,51.0,71.0,0.0,0.0,0.0,147.0,1,1,1,0,0,1,0,1,1,0
112.99,15,0,4,0,0,1494.0,3368,572.0,150.0,224.0,251.0,87.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,363.0,1,0,0,1,0,1,0,0,0,0
88.95,2,0,4,0,0,812.0,9500,321.0,150.0,226.0,204.0,87.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1,0,0,-1,-1,1,0,0,0,0
56.255,21,0,0,1,1,0.0,9300,103.0,185.0,138.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,2,-1,-1,-1,-1,-1,0
267.95,4,0,4,0,0,0.0,11698,383.0,150.0,226.0,205.0,87.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,86.0,86.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
554.0,19,0,4,0,0,0.0,7299,111.0,150.0,195.0,143.0,87.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,4.0,213.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
107.95,14,0,4,0,0,22.0,10889,555.0,150.0,226.0,337.0,87.0,5.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,35.0,5.0,580.0,580.0,28.0,580.0,28.0,0.0,0.0,0.0,0.0,580.0,546.0,0.0,0.0,0.0,580.0,1,1,0,-1,-1,1,0,0,1,0
594.95,2,1,4,0,0,0.0,11653,561.0,150.0,224.0,325.0,87.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,-1,-1,-1,0
21.751,16,0,0,1,0,356.0,1164,545.0,185.0,137.0,-1.0,-1.0,2.0,6.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,52.0,46.0,52.0,46.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,46.0,-1,-1,-1,2,-1,-1,-1,-1,-1,0
113.95,2,0,4,0,0,0.0,5700,122.0,150.0,126.0,205.0,87.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
49.0,22,0,4,0,0,7.0,12544,321.0,150.0,226.0,441.0,87.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,50.0,2.0,47.0,47.0,3.0,403.0,3.0,0.0,0.0,0.0,0.0,190.0,403.0,0.0,0.0,0.0,403.0,1,1,1,0,0,1,-1,-1,-1,0
50.0,5,0,2,1,1,0.0,13964,496.0,150.0,224.0,299.0,87.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.2083129882812,0.2083330005407333,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
108.5,3,0,4,0,0,0.0,6592,278.0,150.0,226.0,325.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0,1,0,-1,-1,-1,0
29.0,20,0,4,0,0,3.0,7835,361.0,150.0,226.0,472.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,-1,-1,-1,0
117.0,1,0,4,0,0,100.0,16230,321.0,150.0,226.0,264.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,-1,-1,-1,0
454.0,22,1,4,0,0,0.0,15066,170.0,150.0,102.0,433.0,87.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,-1,-1,0,0,0,1,0
311.95,23,0,4,0,0,134.0,9500,321.0,150.0,226.0,485.0,87.0,5.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,12.0,4.0,0.0,0.0,0.0,90.0,31.0,0.0,0.0,0.0,0.0,636.0,557.0,0.0,0.0,0.0,577.0,1,0,0,-1,-1,0,0,0,0,0
554.0,20,1,4,0,0,0.0,8860,429.0,150.0,226.0,204.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,1,0
47.95,21,0,4,0,0,0.0,7919,194.0,150.0,166.0,299.0,87.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,-1,-1,1,0,0,1,0
50.0,17,0,1,0,1,0.0,12544,321.0,150.0,226.0,441.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.7083435058594,0.7083330154418945,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
30.95,18,0,4,0,0,0.0,12577,268.0,150.0,166.0,251.0,87.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,-1,-1,-1,0
59.0,19,0,4,0,0,0.0,1738,225.0,150.0,117.0,184.0,87.0,9.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0,74.0,9.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,335.0,-1,-1,-1,1,0,0,-1,-1,-1,0
335.0,15,0,4,0,0,0.0,17188,321.0,150.0,226.0,122.0,87.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,1.0,207.0,207.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,207.0,-1,-1,-1,0,0,-1,-1,-1,-1,0
226.0,6,0,4,0,0,96.0,7919,194.0,150.0,202.0,387.0,87.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,18.0,2.0,398.0,398.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,427.0,427.0,0.0,0.0,0.0,427.0,1,1,1,0,1,0,-1,-1,-1,0
81.95,1,0,4,0,0,0.0,11925,553.0,150.0,226.0,512.0,87.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,9.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
500.0,21,1,2,1,1,0.0,6054,327.0,150.0,-1.0,204.0,87.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
50.0,13,0,4,0,0,0.0,10057,225.0,150.0,224.0,203.0,87.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,2.0,52.0,52.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
107.95,14,1,4,0,0,0.0,15066,170.0,150.0,102.0,494.0,87.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,1,-1,-1,-1,0
47.95,3,0,4,0,0,0.0,1284,490.0,150.0,226.0,264.0,87.0,7.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,13.0,5.0,0.0,0.0,0.0,39.0,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,39.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
25.0,23,0,1,1,0,0.0,9306,490.0,150.0,226.0,299.0,87.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
50.0,17,1,1,0,0,0.0,6019,583.0,150.0,226.0,469.0,87.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
47.95,15,0,4,0,0,0.0,7505,175.0,150.0,226.0,264.0,87.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,14.0,14.0,14.0,36.0,14.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
29.0,1,0,4,0,0,0.0,11919,170.0,150.0,224.0,264.0,87.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,22.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0,1,0,-1,-1,-1,0
117.0,0,1,4,0,0,7.0,15066,170.0,150.0,102.0,325.0,87.0,149.0,139.0,0.0,0.0,112.0,90.0,0.0,0.0,81.0,0.0,102.0,0.0,459.0,132.0,330.0,330.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,522.0,0.0,0.0,0.0,396.0,1,1,1,0,1,0,0,0,1,0
97.99,19,0,4,0,0,7.0,13307,428.0,150.0,166.0,337.0,87.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,1,0,-1,-1,-1,0
87.0,12,0,4,0,0,20.0,2803,100.0,150.0,226.0,337.0,87.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,65.0,423.0,0.0,0.0,0.0,423.0,1,1,1,1,1,1,0,0,1,0
